Species,Source,Date,Location,sample,BioSample,Estado,Região
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_020997535.1,SAMN16946667,RJ,Sudeste
Staphylococcus aureus,Gastrostomy secretion,2015.0,Rio de Janeiro,GCA_021007905.1,SAMN16946674,RJ,Sudeste
Staphylococcus aureus,Wound secretion,2015.0,Rio de Janeiro,GCA_021007925.1,SAMN16946668,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021007915.1,SAMN16946675,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021007895.1,SAMN16946665,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021007975.1,SAMN16946693,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2015.0,Rio de Janeiro,GCA_021007995.1,SAMN16946657,RJ,Sudeste
Staphylococcus aureus,cerebrospinal fluid,2015.0,Rio de Janeiro,GCA_021008015.1,SAMN16946658,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2015.0,Rio de Janeiro,GCA_021008135.1,SAMN16946654,RJ,Sudeste
Staphylococcus aureus,Abscess,2015.0,Rio de Janeiro,GCA_021008175.1,SAMN16946655,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021008215.1,SAMN16946797,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021008235.1,SAMN16946798,RJ,Sudeste
Staphylococcus aureus,Mitral valve vegetation,2014.0,Rio de Janeiro,GCA_021008255.1,SAMN16946649,RJ,Sudeste
Staphylococcus aureus,cerebrospinal fluid,2015.0,Rio de Janeiro,GCA_021008275.1,SAMN16946650,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021008295.1,SAMN16946651,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008315.1,SAMN16946647,RJ,Sudeste
Staphylococcus aureus,Ocular secretion,2014.0,Rio de Janeiro,GCA_021008335.1,SAMN16946648,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008355.1,SAMN16946646,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008365.1,SAMN16946645,RJ,Sudeste
Staphylococcus aureus,urine,2014.0,Rio de Janeiro,GCA_021008395.1,SAMN16946644,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021008415.1,SAMN16946788,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008425.1,SAMN16946642,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008455.1,SAMN16946640,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008475.1,SAMN16946641,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008495.1,SAMN16946636,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021008515.1,SAMN16946785,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008535.1,SAMN16946637,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008545.1,SAMN16946634,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008575.1,SAMN16946632,RJ,Sudeste
Staphylococcus aureus,Abscess,2016.0,Rio de Janeiro,GCA_021008595.1,SAMN16946780,RJ,Sudeste
Staphylococcus aureus,Surgical wound secretion Ferida Cirurgica,2014.0,Rio de Janeiro,GCA_021008605.1,SAMN16946629,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2014.0,Rio de Janeiro,GCA_021008635.1,SAMN16946635,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008645.1,SAMN16946631,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008675.1,SAMN16946628,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008695.1,SAMN16946625,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008715.1,SAMN16946627,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008735.1,SAMN16946623,RJ,Sudeste
Staphylococcus aureus,Wound secretion,2016.0,Rio de Janeiro,GCA_021008755.1,SAMN16946770,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2014.0,Rio de Janeiro,GCA_021008765.1,SAMN16946622,RJ,Sudeste
Staphylococcus aureus,Wound secretion Ferida Joelho,2014.0,Rio de Janeiro,GCA_021008795.1,SAMN16946618,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021008815.1,SAMN16946621,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021008835.1,SAMN16946676,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021008855.1,SAMN16946677,RJ,Sudeste
Staphylococcus aureus,Tissue fragment,2015.0,Rio de Janeiro,GCA_021008875.1,SAMN16946684,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021008905.1,SAMN16946672,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021008895.1,SAMN16946673,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021008945.1,SAMN16946671,RJ,Sudeste
Staphylococcus aureus,urine,2015.0,Rio de Janeiro,GCA_021008935.1,SAMN16946669,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021008955.1,SAMN16946666,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2015.0,Rio de Janeiro,GCA_021008995.1,SAMN16946670,RJ,Sudeste
Staphylococcus aureus,Tissue fragment,2015.0,Rio de Janeiro,GCA_021009005.1,SAMN16946664,RJ,Sudeste
Staphylococcus aureus,bronchoalveolar lavage,2016.0,Rio de Janeiro,GCA_021009035.1,SAMN16946804,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009055.1,SAMN16946811,RJ,Sudeste
Staphylococcus aureus,Pleural fluid,2015.0,Rio de Janeiro,GCA_021009075.1,SAMN16946660,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009095.1,SAMN16946812,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009125.1,SAMN16946807,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009105.1,SAMN16946808,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009155.1,SAMN16946805,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009175.1,SAMN16946806,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009195.1,SAMN16946809,RJ,Sudeste
Staphylococcus aureus,Tissue fragment,2016.0,Rio de Janeiro,GCA_021009215.1,SAMN16946745,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009235.1,SAMN16946810,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009255.1,SAMN16946803,RJ,Sudeste
Staphylococcus aureus,skin lesion,2016.0,Rio de Janeiro,GCA_021009275.1,SAMN16946802,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009295.1,SAMN16946796,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021009315.1,SAMN16946794,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009335.1,SAMN16946795,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009355.1,SAMN16946792,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009365.1,SAMN16946799,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009385.1,SAMN16946800,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009395.1,SAMN16946801,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009435.1,SAMN16946787,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009465.1,SAMN16946790,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009445.1,SAMN16946791,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009495.1,SAMN16946786,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009515.1,SAMN16946789,RJ,Sudeste
Staphylococcus aureus,skin lesion,2016.0,Rio de Janeiro,GCA_021009535.1,SAMN16946793,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2016.0,Rio de Janeiro,GCA_021009555.1,SAMN16946784,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021009575.1,SAMN16946779,RJ,Sudeste
Staphylococcus aureus,Wound secretion,2016.0,Rio de Janeiro,GCA_021009585.1,SAMN16946782,RJ,Sudeste
Staphylococcus aureus,Soft tissue,2016.0,Rio de Janeiro,GCA_021009595.1,SAMN16946783,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021009635.1,SAMN16946781,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021009655.1,SAMN16946778,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021009675.1,SAMN16946777,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021009695.1,SAMN16946776,RJ,Sudeste
Staphylococcus aureus,urine,2016.0,Rio de Janeiro,GCA_021009705.1,SAMN16946773,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021009735.1,SAMN16946774,RJ,Sudeste
Staphylococcus aureus,Catether (Blood),2016.0,Rio de Janeiro,GCA_021009755.1,SAMN16946772,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021009765.1,SAMN16946771,RJ,Sudeste
Staphylococcus aureus,Wound secretion,2016.0,Rio de Janeiro,GCA_021009795.1,SAMN16946775,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021009825.1,SAMN16946769,RJ,Sudeste
Staphylococcus aureus,Wound secretion,2016.0,Rio de Janeiro,GCA_021009915.1,SAMN16946766,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021009935.1,SAMN16946762,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021009975.1,SAMN16946768,RJ,Sudeste
Staphylococcus aureus,Bone fragment,2016.0,Rio de Janeiro,GCA_021009995.1,SAMN16946765,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010015.1,SAMN16946764,RJ,Sudeste
Staphylococcus aureus,Bone fragment,2016.0,Rio de Janeiro,GCA_021010035.1,SAMN16946760,RJ,Sudeste
Staphylococcus aureus,Soft tissue,2016.0,Rio de Janeiro,GCA_021010065.1,SAMN16946767,RJ,Sudeste
Staphylococcus aureus,Tissue fragment,2016.0,Rio de Janeiro,GCA_021010055.1,SAMN16946761,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010095.1,SAMN16946763,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021010135.1,SAMN16946758,RJ,Sudeste
Staphylococcus aureus,sputum,2016.0,Rio de Janeiro,GCA_021010185.1,SAMN16946755,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021010225.1,SAMN16946700,RJ,Sudeste
Staphylococcus aureus,Bone fragment,2016.0,Rio de Janeiro,GCA_021010255.1,SAMN16946753,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2016.0,Rio de Janeiro,GCA_021010275.1,SAMN16946751,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010295.1,SAMN16946754,RJ,Sudeste
Staphylococcus aureus,urine,2016.0,Rio de Janeiro,GCA_021010315.1,SAMN16946750,RJ,Sudeste
Staphylococcus aureus,Hip secretion,2016.0,Rio de Janeiro,GCA_021010355.1,SAMN16946747,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010395.1,SAMN16946748,RJ,Sudeste
Staphylococcus aureus,Catether (Blood),2016.0,Rio de Janeiro,GCA_021010405.1,SAMN16946746,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010435.1,SAMN16946744,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010455.1,SAMN16946742,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021010475.1,SAMN16946743,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021010485.1,SAMN16946739,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021010515.1,SAMN16946686,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021010535.1,SAMN16946740,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011265.1,SAMN16946741,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011355.1,SAMN16946737,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011365.1,SAMN16946736,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011395.1,SAMN16946735,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011405.1,SAMN16946738,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011435.1,SAMN16946734,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011455.1,SAMN16946732,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011475.1,SAMN16946730,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011555.1,SAMN16946717,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011585.1,SAMN16946725,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011605.1,SAMN16946728,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011635.1,SAMN16946718,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011655.1,SAMN16946722,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011675.1,SAMN16946714,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011695.1,SAMN16946721,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011715.1,SAMN16946716,RJ,Sudeste
Staphylococcus aureus,Nasal secretion,2015.0,Rio de Janeiro,GCA_021011755.1,SAMN16946662,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011765.1,SAMN16946715,RJ,Sudeste
Staphylococcus aureus,sputum,2015.0,Rio de Janeiro,GCA_021011795.1,SAMN16946661,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011815.1,SAMN16946712,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011835.1,SAMN16946711,RJ,Sudeste
Staphylococcus aureus,skin lesion,2015.0,Rio de Janeiro,GCA_021011875.1,SAMN16946656,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021011915.1,SAMN16946706,RJ,Sudeste
Staphylococcus aureus,bronchoalveolar lavage,2015.0,Rio de Janeiro,GCA_021011935.1,SAMN16946710,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2015.0,Rio de Janeiro,GCA_021011965.1,SAMN16946701,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012015.1,SAMN16946705,RJ,Sudeste
Staphylococcus aureus,Bone fragment,2015.0,Rio de Janeiro,GCA_021012035.1,SAMN16946708,RJ,Sudeste
Staphylococcus aureus,Pleural fluid,2015.0,Rio de Janeiro,GCA_021012055.1,SAMN16946689,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012075.1,SAMN16946692,RJ,Sudeste
Staphylococcus aureus,Respiratory secretion,2015.0,Rio de Janeiro,GCA_021012095.1,SAMN16946694,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012115.1,SAMN16946696,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012175.1,SAMN16946707,RJ,Sudeste
Staphylococcus aureus,Breast abscess,2015.0,Rio de Janeiro,GCA_021012205.1,SAMN16946697,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012195.1,SAMN16946691,RJ,Sudeste
Staphylococcus aureus,Tracheostomy secretion,2014.0,Rio de Janeiro,GCA_021012235.1,SAMN16946638,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012255.1,SAMN16946690,RJ,Sudeste
Staphylococcus aureus,Abscess,2014.0,Rio de Janeiro,GCA_021012265.1,SAMN16946639,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012295.1,SAMN16946685,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012305.1,SAMN16946678,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012325.1,SAMN16946695,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021012355.1,SAMN16946633,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012375.1,SAMN16946681,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012395.1,SAMN16946688,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021012415.1,SAMN16946630,RJ,Sudeste
Staphylococcus aureus,bronchoalveolar lavage,2015.0,Rio de Janeiro,GCA_021012445.1,SAMN16946683,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012435.1,SAMN16946687,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012475.1,SAMN16946680,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012495.1,SAMN16946682,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2015.0,Rio de Janeiro,GCA_021012515.1,SAMN16946679,RJ,Sudeste
Staphylococcus aureus,urine,2015.0,Rio de Janeiro,GCA_021012535.1,SAMN16946723,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2015.0,Rio de Janeiro,GCA_021012545.1,SAMN16946724,RJ,Sudeste
Staphylococcus aureus,skin lesion,2014.0,Rio de Janeiro,GCA_021012575.1,SAMN16946624,RJ,Sudeste
Staphylococcus aureus,Nasal Colonization,2014.0,Rio de Janeiro,GCA_021012635.1,SAMN16946620,RJ,Sudeste
Staphylococcus aureus,blood,2015.0,Rio de Janeiro,GCA_021012645.1,SAMN16946733,RJ,Sudeste
Staphylococcus aureus,Tracheal secretion,2014.0,Rio de Janeiro,GCA_021012675.1,SAMN16946619,RJ,Sudeste
Staphylococcus aureus,Nasal colonization,2015.0,Rio de Janeiro,GCA_021012695.1,SAMN17061658,RJ,Sudeste
Staphylococcus aureus,blood,2016.0,Rio de Janeiro,GCA_021012715.1,SAMN17061659,RJ,Sudeste
Staphylococcus aureus,Abscess,2014.0,Rio de Janeiro,GCA_021012735.1,SAMN16946617,RJ,Sudeste
Staphylococcus aureus,,1993.0,Brazil,GCA_025695105.1,SAMEA862645,,
Staphylococcus aureus,abscess,2009.0,Brazil,,SAMEA1029569,,
Staphylococcus aureus,not known,1997.0,Brazil,GCA_025689105.1,SAMEA1029514,,
Staphylococcus aureus,not known,1997.0,Brazil,GCA_025689065.1,SAMEA1029559,,
Staphylococcus aureus,not known,1997.0,Brazil,GCA_025726045.1,SAMEA1029508,,
Staphylococcus aureus,Bloodstream infection,2020.0,Curitiba,GCA_049376965.1,SAMN46350606,PR,Sul
Staphylococcus aureus,Bloodstream infection,2022.0,Curitiba,GCA_049377025.1,SAMN46350597,PR,Sul
Staphylococcus aureus,Pleural fluid,2021.0,Curitiba,GCA_049377045.1,SAMN46350607,PR,Sul
Staphylococcus aureus,Bloodstream infection,2020.0,Curitiba,GCA_049377085.1,SAMN46350604,PR,Sul
Staphylococcus aureus,Bloodstream infection,2019.0,Curitiba,GCA_049377215.1,SAMN46350596,PR,Sul
Staphylococcus aureus,Bloodstream infection,2019.0,Curitiba,GCA_049377265.1,SAMN46350598,PR,Sul
Staphylococcus aureus,Bloodstream infection,2019.0,Curitiba,GCA_049377285.1,SAMN46350594,PR,Sul
Staphylococcus aureus,cerebrospinal fluid,2018.0,Curitiba,GCA_049377365.1,SAMN46350582,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377465.1,SAMN46350593,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377505.1,SAMN46350586,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377525.1,SAMN46350591,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377585.1,SAMN46350585,PR,Sul
Staphylococcus aureus,cerebrospinal fluid,2018.0,Curitiba,GCA_049377605.1,SAMN46350590,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377685.1,SAMN46350587,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049377725.1,SAMN46350571,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377905.1,SAMN46350584,PR,Sul
Staphylococcus aureus,Bloodstream infection,2018.0,Curitiba,GCA_049377925.1,SAMN46350583,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049377965.1,SAMN46350575,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049377985.1,SAMN46350576,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378065.1,SAMN46350579,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378105.1,SAMN46350572,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378165.1,SAMN46350578,PR,Sul
Staphylococcus aureus,Bloodstream infection,2020.0,Curitiba,GCA_049378185.1,SAMN46350602,PR,Sul
Staphylococcus aureus,Bloodstream infection,2022.0,Curitiba,GCA_049378265.1,SAMN46350614,PR,Sul
Staphylococcus aureus,Bloodstream infection,2022.0,Curitiba,GCA_049378285.1,SAMN46350613,PR,Sul
Staphylococcus aureus,Bloodstream infection,2021.0,Curitiba,GCA_049378325.1,SAMN46350609,PR,Sul
Staphylococcus aureus,Bloodstream infection,2021.0,Curitiba,GCA_049378345.1,SAMN46350608,PR,Sul
Staphylococcus aureus,Bloodstream infection,2021.0,Curitiba,GCA_049378425.1,SAMN46350612,PR,Sul
Staphylococcus aureus,Bloodstream infection,2020.0,Curitiba,GCA_049378465.1,SAMN46350605,PR,Sul
Staphylococcus aureus,Bloodstream infection,2021.0,Curitiba,GCA_049378525.1,SAMN46350610,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378645.1,SAMN46350573,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378665.1,SAMN46350569,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378685.1,SAMN46350574,PR,Sul
Staphylococcus aureus,Bloodstream infection,2017.0,Curitiba,GCA_049378765.1,SAMN46350570,PR,Sul
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412735.1,SAMN48445568,RJ,Sudeste
Staphylococcus aureus,,2022.0,Porto Alegre,GCA_050412755.1,SAMN48445567,RS,Sul
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412775.1,SAMN48445566,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412795.1,SAMN48445565,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412815.1,SAMN48445564,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412835.1,SAMN48445563,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412855.1,SAMN48445562,RJ,Sudeste
Staphylococcus aureus,,2023.0,Rio de Janeiro,GCA_050412875.1,SAMN48445561,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412895.1,SAMN48445559,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412915.1,SAMN48445560,RJ,Sudeste
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050412935.1,SAMN48445558,RJ,Sudeste
Staphylococcus aureus,,2023.0,Curitiba,GCA_050412955.1,SAMN48445557,PR,Sul
Staphylococcus aureus,,2023.0,Curitiba,GCA_050412975.1,SAMN48445556,PR,Sul
Staphylococcus aureus,,2023.0,Curitiba,GCA_050412995.1,SAMN48445555,PR,Sul
Staphylococcus aureus,,2023.0,Curitiba,GCA_050413015.1,SAMN48445553,PR,Sul
Staphylococcus aureus,,2023.0,Curitiba,GCA_050413035.1,SAMN48445554,PR,Sul
Staphylococcus aureus,,2023.0,Curitiba,GCA_050413055.1,SAMN48445552,PR,Sul
Staphylococcus aureus,,2023.0,Porto Alegre,GCA_050413075.1,SAMN48445551,RS,Sul
Staphylococcus aureus,,2023.0,Porto Alegre,GCA_050413095.1,SAMN48445550,RS,Sul
Staphylococcus aureus,,2022.0,Rio de Janeiro,GCA_050413115.1,SAMN48445549,RJ,Sudeste
Staphylococcus aureus,,2022.0,Porto Alegre,GCA_050413135.1,SAMN48445547,RS,Sul
Staphylococcus aureus,,2023.0,Rio de Janeiro,GCA_050413155.1,SAMN48445548,RJ,Sudeste
Staphylococcus aureus,,2023.0,Braslia,GCA_050413175.1,SAMN48445546,DF,Centro-oeste
Staphylococcus aureus,,2022.0,Braslia,GCA_050413195.1,SAMN48445545,DF,Centro-oeste
