Species,Source,Date,Location,sample,BioSample,Estado,Região
Salmonella enterica,stool,2012.0,Brazil,GCA_005173165.1,SAMN09709345,,
Salmonella enterica,blood,2015.0,Brazil,GCA_005173175.1,SAMN09709347,,
Burkholderia cenocepacia,liver abcess in cystic fibrosis patient,2018.0,Brazil,GCA_010500755.1,SAMN13134299,,
Salmonella enterica,urine,1993.0,Brazil,GCA_003066085.1,SAMN06333774,,
Salmonella enterica,blood,1992.0,Brazil,GCA_003066105.1,SAMN06333776,,
Salmonella enterica,Liver Fluid,1991.0,Brazil,GCA_003066285.1,SAMN06333791,,
Salmonella enterica,blood,1990.0,Brazil,GCA_003066505.1,SAMN06333807,,
Salmonella enterica,blood,1988.0,Brazil,GCA_003066565.1,SAMN06333810,,
Salmonella enterica,blood,1988.0,Brazil,GCA_003066585.1,SAMN06333811,,
Salmonella enterica,blood,1987.0,Brazil,GCA_003066665.1,SAMN06333821,,
Salmonella enterica,Liquor,1983.0,Brazil,GCA_003066825.1,SAMN06333829,,
Salmonella enterica,blood,2014.0,Brazil,GCA_003067065.1,SAMN06330415,,
Salmonella enterica,blood,2013.0,Brazil,GCA_003067125.1,SAMN06330419,,
Salmonella enterica,blood,2013.0,Brazil,GCA_003067145.1,SAMN06330420,,
Salmonella enterica,blood,2013.0,Brazil,GCA_003067165.1,SAMN06330421,,
Salmonella enterica,blood,2004.0,Brazil,GCA_003069865.1,SAMN06330383,,
Salmonella enterica,blood,2003.0,Brazil,GCA_003069935.1,SAMN06333729,,
Salmonella enterica,,1999.0,Brazil,GCA_003070145.1,SAMN06333739,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070365.1,SAMN06333751,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070425.1,SAMN06333754,,
Salmonella enterica,feces,1997.0,Brazil,GCA_003070455.1,SAMN06333756,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070445.1,SAMN06333755,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070405.1,SAMN06333753,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070385.1,SAMN06333752,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070345.1,SAMN06333750,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070325.1,SAMN06333749,,
Salmonella enterica,blood,1998.0,Brazil,GCA_003070305.1,SAMN06333748,,
Salmonella enterica,,1999.0,Brazil,GCA_003070165.1,SAMN06333740,,
Salmonella enterica,,1999.0,Brazil,GCA_003070125.1,SAMN06333738,,
Salmonella enterica,,1999.0,Brazil,GCA_003070065.1,SAMN06333735,,
Salmonella enterica,blood,2003.0,Brazil,GCA_003069925.1,SAMN06333728,,
Salmonella enterica,blood,2003.0,Brazil,GCA_003069905.1,SAMN06330377,,
